FTHG,FTAG,HTHG,HTAG,HHW,AHW,HO,AO,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
0,2,0,1,0,0,4,3,30,55,,,,3.3,3,1.85,3.5,3.2,1.91,3.8,3.25,1.83,3.6,3.4,1.83,4,3.1,1.8
5,0,1,0,0,1,0,4,0,0,,,,2,2.9,3,1.91,3.2,3.5,2,3.25,3.4,2,3.25,3.25,1.9,3.25,3.4
1,3,0,0,1,1,4,3,0,10,,,,1.75,3.1,3.6,1.73,3.4,4,1.73,3.25,4.33,1.73,3.5,4,1.72,3.25,4.2
3,5,3,0,0,0,3,2,30,30,,,,2.9,2.9,2.1,3,3.2,2.1,3.6,3.25,1.9,3.4,3.4,1.91,3.2,3.2,2
2,0,0,0,0,1,3,4,20,20,,,,1.8,3,3.5,1.61,3.25,5,1.8,3.1,4.33,1.8,3.25,4,1.72,3.2,4.33
1,1,0,1,0,1,5,0,10,65,,,,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.2,2.5,2.5,3.4,2.38,2.62,2.9,2.5
1,2,1,0,1,0,0,11,0,10,,,,2.9,2.9,2.1,3,3.2,2.1,3.25,3.25,2,3.25,3.25,2,3.2,3,2.1
0,2,0,1,0,0,3,5,10,40,,,,2.4,2.9,2.4,2.6,3.2,2.37,2.7,3.25,2.3,2.75,3.25,2.25,2.75,3.1,2.3
0,4,0,1,0,1,2,6,45,20,,,,2.5,3,2.5,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.4,3.1,2.6
0,0,0,0,0,0,6,0,20,10,,,,2.2,3,2.9,2,3.2,3.2,,,,1.91,3.25,3.5,2,3.2,3.2
2,0,2,0,1,0,1,5,0,0,,,,1.35,4,7,1.33,4,8,,,,1.36,4.33,6.5,1.28,4.5,8
0,0,0,0,0,0,4,7,0,10,,,,2,3.1,3.2,2.2,3.2,2.8,,,,2,3.25,3.25,2,3.2,3.2
1,1,0,1,1,0,0,2,30,20,,,,2,3.1,3.2,,,,,,,2.1,3.25,3,2.2,3.2,2.8
0,2,0,1,0,2,2,7,45,10,,,,3.6,3.2,1.8,4.33,3.2,1.73,,,,4,3.4,1.73,4.33,3.2,1.72
1,3,0,1,1,2,1,8,0,0,,,,3.2,3.1,2,3.2,3.2,2,,,,3.4,3.4,1.91,3.5,3.2,1.9
2,0,0,0,0,0,3,0,10,10,,,,1.8,3.1,3.8,1.8,3.2,4,,,,1.8,3.25,4,1.9,3,3.75
7,1,3,1,0,0,2,0,10,55,,,,1.85,3.1,3.6,1.8,3.2,4,,,,1.8,3.4,3.75,1.83,3.2,3.75
3,1,2,1,1,0,3,2,0,20,,,,1.6,3.4,4.6,1.5,3.4,6,,,,1.53,3.5,5.5,1.53,3.4,5.5
3,3,0,1,0,0,5,8,10,20,1.34,4,8,1.4,3.9,6,1.3,4.33,8,,,,1.33,4.33,7.5,,,
1,1,1,0,0,0,7,5,30,0,2.3,3,2.9,2.1,3,3.1,2.37,3.2,2.6,,,,2.38,3.2,2.6,2.25,3.2,2.75
3,2,1,0,0,0,5,5,0,10,2.5,3.1,2.55,2.5,3,2.5,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.62,2.9,2.5
1,4,0,3,0,0,1,1,10,20,4.35,3.35,1.7,4,3.3,1.7,4.5,3.25,1.67,,,,4.33,3.25,1.73,4.5,3.3,1.66
1,2,1,1,0,0,4,7,0,0,1.17,5.25,13,1.25,4.5,9,1.17,5.5,12,,,,1.2,5.5,10,1.16,5.5,12
2,0,0,0,1,0,3,1,0,35,1.9,3.3,3.55,2,3.1,3.2,1.91,3.2,3.5,,,,2,3.25,3.25,1.9,3.2,3.5
1,1,1,0,0,0,3,9,45,30,1.8,3.2,4,1.8,3.1,3.8,1.73,3.4,4,,,,1.8,3.25,4,1.72,3.2,4.33
0,0,0,0,0,1,0,0,20,30,1.85,3.2,3.8,1.9,3.1,3.5,1.8,3.2,4,,,,1.8,3.25,4,1.72,3.25,4.2
0,2,0,2,0,1,6,3,20,10,1.85,3.2,3.8,1.85,3.2,3.5,1.83,3.2,3.75,,,,1.83,3.4,3.6,1.83,3.2,3.75
2,0,2,0,0,0,5,3,35,20,2.45,3.1,2.55,2.4,3,2.6,2.5,2.87,2.62,,,,2.2,3.25,2.8,2.5,2.9,2.62
1,0,1,0,0,0,1,5,0,0,1.6,3.45,5,1.55,3.5,4.8,1.57,3.5,5,1.62,3.4,5,1.62,3.4,5,1.57,3.5,5
3,3,2,1,0,0,2,0,20,10,2.3,3.2,2.7,2.2,3,2.9,2.4,3.25,2.5,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75
2,1,2,1,0,1,1,4,0,0,2.95,3.2,2.15,3.2,3.1,2,3,3.2,2.1,2.9,3.2,2.2,2.8,3.25,2.2,2.87,3.1,2.2
3,2,2,1,0,0,8,3,20,30,1.65,3.35,4.85,1.6,3.4,4.6,1.57,3.25,5.5,1.57,3.4,5.5,1.62,3.4,5,1.57,3.4,5.5
0,2,0,2,0,0,2,5,0,35,,,,3.5,3.1,1.9,3.75,3.25,1.8,3.6,3.2,1.91,3.75,3.4,1.8,3.75,3.4,1.8
1,3,0,1,0,0,3,1,10,20,2.2,3.2,2.9,2.2,3,2.9,2,3.2,3.2,2.1,3.2,3.1,2.1,3.25,3,,,
2,1,2,1,0,0,0,4,0,20,1.7,3.3,4.5,1.7,3.2,4.2,1.67,3.25,4.5,1.62,3.4,5,1.62,3.6,4.5,1.67,3.25,4.5
1,1,0,0,1,0,0,4,30,30,1.75,3.3,4.15,1.75,3.2,4,1.73,3.4,4,1.83,3.2,4,1.8,3.25,4,1.8,3.1,4
1,1,0,1,0,1,5,3,30,30,3.4,3.25,1.95,3.2,3.1,2,3.5,3.2,1.91,3.5,3.2,1.91,3.75,3.4,1.8,3.5,3.2,1.91
2,1,0,1,1,0,6,7,0,0,1.65,3.3,4.8,1.7,3.3,4,1.5,3.4,6,1.62,3.4,5,1.62,3.6,4.5,,,
1,1,1,0,0,1,7,4,10,40,3.85,3.3,1.75,3.6,3.1,1.85,4.33,3.2,1.73,4.2,3.25,1.75,4.5,3.2,1.73,4.2,3.3,1.72
2,3,0,1,0,1,1,2,20,20,1.9,3.2,3.65,1.9,3.1,3.5,1.91,3.25,3.4,1.91,3.25,3.5,1.91,3.25,3.5,2,3.2,3.2
0,0,0,0,0,0,3,3,60,20,1.45,3.75,6.25,1.45,3.8,5.4,1.44,3.6,6.5,1.45,3.5,7,1.5,3.5,6,1.4,3.75,7
2,2,1,1,0,0,2,7,65,20,2.15,3.1,3.05,2.4,3,2.6,2.2,3.25,2.75,2.25,3.2,2.8,2.2,3.25,2.8,2.2,3.25,2.75
1,0,0,0,0,0,2,3,10,30,2.5,3.2,2.47,2.7,3,2.3,2.6,3.2,2.37,2.6,3.2,2.4,2.62,3.2,2.38,2.62,3.1,2.37
5,1,0,0,1,1,4,9,0,10,1.7,3.35,4.35,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.3,4.33,1.73,3.25,4.33,1.72,3.2,4.33
3,0,1,0,1,0,2,0,0,30,2.25,3.15,2.82,2.1,3,3.1,2.37,3.2,2.6,2.3,3.2,2.75,2.38,3.2,2.6,,,
1,2,1,1,1,0,3,5,10,10,2.4,3.1,2.65,2.2,3,2.9,2.4,3.25,2.5,2.3,3.2,2.7,2.5,3.2,2.5,2.37,3.1,2.62
0,2,0,1,1,0,3,0,10,30,2.05,3.15,3.25,2.1,3,3.1,2,3.2,3.2,2.1,3.2,3.1,2.1,3.25,3,,,
2,4,1,2,2,1,2,6,30,20,1.3,4.45,8.1,1.4,3.9,6,1.33,4,8,1.3,4.33,8.5,1.29,4.5,8.5,1.25,4.5,10
2,1,1,0,0,0,2,1,0,20,1.4,3.8,7,1.45,3.8,5.4,1.4,3.75,7,1.44,3.75,6.5,1.4,4,6.5,1.44,3.6,6.5
2,1,0,0,1,0,4,1,10,30,1.55,3.45,5.4,1.6,3.4,4.6,1.61,3.25,5,1.53,3.5,5.5,1.53,3.5,5.5,1.57,3.3,5.5
3,1,2,0,0,0,3,1,0,0,2.45,2.9,2.75,2.2,3,2.9,2.37,2.87,2.8,2.4,3.2,2.6,,,,2.4,2.9,2.75
0,0,0,0,1,1,7,3,10,20,1.62,3.4,4.9,1.6,3.4,4.6,1.57,3.25,5.5,1.57,3.4,5.5,1.62,3.4,5,1.61,3.3,5
1,1,0,1,0,0,3,5,20,0,3.4,3.1,2,3.1,3,2.1,3.2,3.2,2,3.1,3.2,2.1,3.25,3.25,2,3.6,3.3,1.83
1,0,1,0,0,1,4,2,0,10,2.1,3.1,3.15,2,3.1,3.2,2.2,3.25,2.75,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2
3,1,2,0,0,0,0,2,0,60,2.33,3.05,2.8,2.2,3,2.9,2.1,3.2,3,2.2,3.2,2.88,2.25,3.25,2.75,2.2,3.2,2.8
2,0,1,0,2,1,6,2,20,10,1.22,5.2,9.5,1.25,4.5,9,1.25,4.5,10,1.22,5,10,1.2,5.5,10,1.2,5,11
1,1,0,0,1,0,2,6,20,10,2.8,3.05,2.28,2.7,2.9,2.4,2.5,2.87,2.62,2.6,3.1,2.5,2.6,3,2.5,2.62,2.9,2.5
0,0,0,0,0,1,2,1,10,30,2.6,3,2.5,2.7,2.9,2.4,2.6,3.2,2.37,2.6,3.2,2.4,2.6,3.2,2.38,2.6,3.1,2.4
1,2,1,2,2,0,2,1,0,20,2.12,3.1,3.1,2,3.1,3.2,,,,2,3.25,3.25,2,3.25,3.25,2.2,3.25,2.75
2,0,0,0,1,0,3,5,10,30,2.8,3.25,2.2,3.2,3.1,2,3,3.2,2.1,2.9,3.2,2.2,3.4,3.4,1.91,2.62,3.25,2.3
4,4,2,2,0,0,2,0,10,20,2.3,3.1,2.8,2.2,3,2.9,2.25,3.2,2.75,2.25,3.2,2.8,2.2,3.25,2.8,2.25,3.1,2.8
0,0,0,0,0,0,6,3,10,10,2.3,3.1,2.8,2.3,3,2.7,2.25,3.2,2.75,2.38,3.2,2.62,2.38,3.2,2.6,2.37,3.3,2.5
0,0,0,0,0,0,1,9,0,20,1.6,3.4,5.1,1.65,3.3,4.4,1.61,3.25,5,1.62,3.4,5,1.57,3.6,5,1.61,3.3,5
0,0,0,0,0,0,1,3,20,10,2.45,3,2.7,2.3,3,2.7,2.5,2.87,2.62,2.38,3.1,2.7,2.38,3.2,2.6,2.37,3.1,2.62
1,0,1,0,0,0,3,6,10,20,1.45,3.6,6.7,1.5,3.7,5,1.44,3.6,6.5,1.44,3.6,7,1.44,3.75,6.5,1.44,3.6,6.5
1,0,0,0,0,1,4,2,0,10,2.3,3.15,2.75,2.2,3,2.9,2.4,3.25,2.5,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.2,2.75
0,1,0,0,0,3,1,15,20,20,2.55,3.1,2.5,2.4,3,2.6,2.6,3.2,2.37,2.5,3.1,2.6,2.5,3.2,2.5,2.5,3.1,2.5
3,1,0,1,0,0,1,4,20,30,2.45,3,2.7,2.3,3,2.7,2.37,3.2,2.6,2.5,3.2,2.5,,,,2.5,3.1,2.5
1,1,1,1,1,0,1,1,45,20,1.85,3.1,3.95,1.8,3.1,3.8,1.67,3.25,4.5,2,3.2,3.3,1.8,3.4,3.75,1.9,3.1,3.6
1,0,1,0,0,0,6,1,35,30,1.4,3.9,7,1.45,3.8,5.4,1.5,3.4,6,1.5,3.5,6,1.4,3.75,7.5,1.44,3.5,7
0,0,0,0,0,2,2,2,0,0,1.75,3.2,4.3,1.75,3.2,4,1.67,3.25,4.5,1.73,3.25,4.33,1.67,3.4,4.5,1.66,3.4,4.33
0,2,0,1,0,0,0,3,25,40,1.47,3.6,6.6,1.5,3.5,5.4,1.5,3.4,6,1.5,3.4,6.5,1.5,3.4,6.5,1.5,3.3,6.5
0,1,0,1,1,0,5,2,10,20,1.85,3.2,3.8,1.85,3.1,3.6,1.8,3.2,4,1.83,3.1,4,1.83,3.25,3.75,1.9,3,3.75
1,1,0,0,0,1,3,4,10,45,2.62,3.05,2.47,2.5,3,2.5,2.37,3.2,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5
0,1,0,1,0,0,5,5,10,20,4.4,3.35,1.7,3.8,3.1,1.8,4.5,3.5,1.61,4.2,3.4,1.73,4.5,3.4,1.67,4.5,3.3,1.66
0,2,0,1,0,0,0,3,0,20,3.9,3.3,1.8,3.5,3.1,1.9,4.33,3.2,1.73,3.75,3.25,1.85,4,3.25,1.8,4,3.1,1.8
0,3,0,1,0,1,5,4,20,30,1.62,3.4,4.9,1.75,3.2,4,1.61,3.25,5,1.67,3.25,5,1.62,3.4,5,1.66,3.1,5
1,0,0,0,0,1,5,4,30,0,1.8,3.25,3.95,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.25,4.33,1.83,3.25,3.75,1.8,3.1,4
2,0,0,0,0,0,3,2,0,10,1.8,3.35,3.8,1.8,3.1,3.8,1.8,3.2,4,1.8,3.2,4,1.73,3.25,4.33,1.9,3.25,3.4
0,0,0,0,1,0,2,2,10,20,2.7,3.15,2.35,2.5,3,2.5,2.6,3.2,2.37,2.75,3.2,2.3,2.62,3.2,2.38,2.75,3.1,2.3
3,2,0,1,1,0,6,7,0,20,1.55,3.5,5.4,1.65,3.3,4.4,1.57,3.5,5,1.57,3.4,5.5,1.57,3.6,5,1.5,3.4,6
0,1,0,0,0,0,1,4,10,10,1.42,3.65,7.3,1.4,3.9,6,1.5,3.4,6,1.44,3.6,7,1.4,4,6.5,1.36,3.75,8
1,1,0,1,0,0,3,5,20,10,2.25,3.25,2.75,2.3,3,2.7,2.25,3.2,2.75,2.2,3.1,2.9,2.38,3.2,2.6,2.1,3.2,3
3,1,2,0,0,0,9,4,30,10,2.75,3.15,2.3,2.5,3,2.5,2.75,3.2,2.25,2.75,3.2,2.3,2.8,3.25,2.2,2.8,3.1,2.25
1,0,0,0,1,0,4,2,0,40,2.35,3.1,2.73,2.1,2.9,3.2,2.4,3.25,2.5,2.38,3.1,2.7,2.38,3.2,2.6,2.37,3.1,2.62
2,0,1,0,0,0,2,3,45,65,1.75,3.3,4.15,1.85,3.1,3.6,1.8,3,4.33,1.8,3.1,4.2,1.8,3.25,4,1.72,3.1,4.5
0,4,0,1,0,0,3,5,10,0,1.95,3.2,3.45,1.9,3.1,3.5,1.91,3.2,3.5,2,3.2,3.3,1.91,3.2,3.6,2,3,3.4
2,0,2,0,0,0,3,2,0,20,1.4,4,6.7,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.6,7.5
0,1,0,0,0,0,0,1,50,30,1.3,4.5,8.2,1.3,4.2,8,1.4,3.75,7,1.33,4.33,7.5,1.33,4.33,7.5,1.33,3.8,9
3,2,0,2,0,0,4,6,40,0,1.45,3.6,6.6,1.6,3.4,4.6,1.44,3.6,6.5,1.5,3.6,6,1.5,3.5,6,1.44,3.4,7
1,2,0,0,2,0,2,8,10,50,2.85,3.1,2.26,2.5,3,2.5,2.75,3.2,2.25,2.8,3.1,2.3,2.75,3.25,2.25,2.87,3,2.25
0,1,0,1,0,0,1,1,30,10,2.8,3.15,2.27,2.9,3,2.2,2.5,3.25,2.4,2.6,3.2,2.4,2.6,3.2,2.38,2.8,3,2.3
0,0,0,0,0,0,5,3,10,30,2.55,3.1,2.5,2.5,3,2.5,2.75,3.2,2.25,2.6,3.1,2.5,2.6,3.2,2.38,2.5,3.1,2.5
0,0,0,0,2,0,1,0,0,0,1.45,3.8,6.2,1.5,3.7,5,1.57,3.25,5.5,1.5,3.5,6,1.44,3.75,6.5,1.5,3.4,6
5,0,2,0,0,0,3,3,10,20,1.25,5,9,1.3,4.2,8,1.28,4.33,9,1.29,4.5,9.5,1.25,4.5,11,1.28,4.33,8.5
0,0,0,0,1,0,5,4,10,20,2.2,3.1,2.95,2.3,3,2.7,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.25,2.75,2.25,3.1,2.8
1,0,0,0,2,0,2,5,10,10,1.71,3.35,4.3,1.8,3.1,3.8,1.67,3.25,4.5,1.67,3.25,4.75,1.73,3.25,4.33,1.72,3.1,4.5
0,1,0,0,0,0,1,0,20,30,4.3,3.35,1.71,4.2,3.2,1.7,4,3.4,1.73,4.5,3.25,1.67,4,3.2,1.8,4.33,3.4,1.66
2,1,0,1,0,1,7,3,0,30,1.68,3.4,4.4,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.3,4.5,1.67,3.4,4.5,1.72,3.25,4.2
2,0,1,0,0,0,2,5,10,20,2.4,3.1,2.65,2.3,3,2.7,2.37,3.2,2.6,2.3,3.2,2.7,2.38,3.2,2.6,2.25,3.2,2.75
4,0,2,0,0,0,3,1,30,20,1.85,3.25,3.75,2,3,3.3,1.8,3.2,4,2.05,2.9,4,1.83,3.25,3.75,2,2.8,3.75
1,1,1,1,0,2,5,1,40,30,3.8,3.3,1.82,3.8,3.1,1.8,4.33,3.2,1.73,4,3.25,1.8,3.6,3.4,1.83,3.75,3.3,1.8
4,0,2,0,1,1,0,6,20,30,2.45,3.15,2.55,2.2,3,2.9,2.5,2.87,2.62,2.6,2.9,2.7,2.62,3.2,2.38,2.5,3.1,2.5
2,2,1,0,1,0,2,1,10,30,1.28,4.4,9.3,1.35,4,7,1.36,3.75,8,1.29,4.5,9,1.3,4.5,8,1.25,5,8
2,1,1,1,1,0,3,5,0,10,1.5,3.65,5.7,1.55,3.5,4.8,1.5,3.4,6,1.53,3.4,6,1.57,3.4,5.5,1.5,3.4,6
1,3,1,0,0,0,6,4,55,55,1.5,3.5,6.1,1.65,3.3,4.4,1.44,3.6,6.5,1.5,3.4,6.5,1.44,3.75,6.5,1.5,3.4,6
3,2,2,0,1,0,6,1,10,10,1.43,3.7,6.8,1.4,3.9,6,1.44,3.6,6.5,1.4,3.75,7.5,1.44,3.75,6.5,1.44,3.5,7
0,2,0,0,0,0,4,6,20,30,2.05,3.1,3.25,2.1,3,3.1,2.1,3.25,3,2.1,3.1,3.2,2,3.25,3.25,1.9,3.25,3.4
